Source,Target
0,23
0,24
0,31
0,61
0,62
0,71
0,72
0,75
0,84
0,86
0,94
0,101
0,102
0,111
0,113
0,114
0,115
0,145
0,179
1,16
1,28
1,29
1,31
1,45
1,46
1,49
1,69
1,93
1,116
1,125
1,135
1,167
2,6
2,30
2,54
2,70
2,76
2,79
2,94
2,128
2,140
2,142
2,175
3,4
3,12
3,36
3,40
3,41
3,65
3,83
3,85
3,118
3,127
3,139
3,144
4,3
4,12
4,36
4,39
4,40
4,41
4,48
4,65
4,81
4,83
4,85
4,87
4,96
4,97
4,98
4,99
4,127
4,139
4,144
5,9
5,17
5,20
5,21
5,23
5,26
5,31
5,35
5,43
5,60
5,63
5,72
5,77
5,84
5,88
5,111
5,113
5,124
6,2
6,9
6,30
6,57
6,63
6,79
6,117
6,122
6,128
6,133
6,140
6,142
6,163
6,174
7,9
7,20
7,21
7,26
7,31
7,61
7,69
7,80
7,89
7,95
7,124
7,134
8,24
8,38
8,44
8,61
8,70
8,78
8,96
8,109
8,114
8,124
8,135
8,157
9,5
9,6
9,7
9,20
9,21
9,26
9,35
9,56
9,63
9,72
9,88
9,92
9,117
9,128
9,133
10,16
10,21
10,22
10,47
10,55
10,56
10,60
10,69
10,88
10,123
10,129
10,134
10,167
11,17
11,23
11,34
11,51
11,54
11,76
11,101
11,113
11,126
11,130
11,131
11,136
11,140
12,3
12,4
12,36
12,39
12,40
12,67
12,81
12,82
12,87
12,91
12,96
12,104
12,139
12,144
13,18
13,28
13,32
13,37
13,46
13,48
13,66
13,74
13,90
13,96
13,98
13,99
13,138
14,29
14,31
14,47
14,57
14,76
14,89
14,101
14,110
14,120
14,130
14,132
14,136
14,140
14,141
14,143
15,16
15,18
15,28
15,37
15,45
15,59
15,66
15,74
15,90
15,93
15,99
15,106
15,108
15,129
15,137
16,1
16,10
16,15
16,22
16,33
16,37
16,45
16,59
16,99
16,104
16,129
16,135
16,137
16,167
17,5
17,11
17,31
17,62
17,70
17,101
17,111
17,113
17,124
17,136
17,140
17,143
18,13
18,15
18,32
18,59
18,61
18,65
18,90
18,98
18,99
18,121
18,138
19,27
19,33
19,47
19,57
19,64
19,110
19,122
19,129
19,130
19,137
19,141
19,142
20,5
20,7
20,9
20,21
20,26
20,43
20,63
20,72
20,80
20,117
20,122
21,5
21,7
21,9
21,10
21,20
21,26
21,43
21,56
21,60
21,61
21,69
21,77
21,84
21,88
21,106
21,108
21,111
21,113
22,10
22,16
22,33
22,44
22,50
22,55
22,69
22,84
22,120
22,135
22,167
23,0
23,5
23,11
23,31
23,38
23,54
23,61
23,70
23,71
23,86
23,94
23,100
23,102
23,109
23,111
23,113
23,124
23,131
23,145
23,164
24,0
24,8
24,32
24,38
24,44
24,61
24,71
24,78
24,86
24,95
24,102
24,114
24,115
24,135
24,179
25,34
25,44
25,50
25,71
25,76
25,94
25,105
25,114
25,115
25,123
25,132
25,135
25,150
26,5
26,7
26,9
26,20
26,21
26,43
26,56
26,63
26,69
26,72
26,88
26,92
26,117
27,19
27,31
27,42
27,64
27,80
27,99
27,101
27,107
27,121
27,130
27,137
28,1
28,13
28,15
28,29
28,36
28,45
28,46
28,53
28,59
28,66
28,68
28,74
28,81
28,82
28,90
28,93
28,98
28,99
28,112
28,116
28,121
29,1
29,14
29,28
29,51
29,72
29,92
29,121
29,125
29,130
29,136
29,163
30,2
30,6
30,38
30,57
30,63
30,70
30,76
30,79
30,128
30,133
30,140
30,141
30,157
31,0
31,1
31,5
31,7
31,14
31,17
31,23
31,27
31,42
31,50
31,57
31,61
31,62
31,64
31,69
31,70
31,71
31,76
31,86
31,89
31,101
31,104
31,105
31,107
31,109
31,111
31,120
31,121
31,123
31,124
31,125
31,136
31,140
32,13
32,18
32,24
32,65
32,71
32,90
32,102
32,112
32,114
32,121
32,175
32,176
32,179
33,16
33,19
33,22
33,35
33,37
33,43
33,47
33,55
33,59
33,72
33,84
33,92
33,103
33,106
33,110
33,120
33,129
33,137
34,11
34,25
34,46
34,62
34,64
34,71
34,86
34,99
34,100
34,101
34,107
34,115
34,126
34,132
34,135
34,136
34,145
35,5
35,9
35,33
35,43
