Source,Target
0,113
0,58
0,5
0,29
0,103
0,120
0,9
0,142
0,94
0,18
1,34
1,80
1,2
1,82
1,157
1,100
1,40
1,23
1,66
1,123
2,47
2,72
2,115
2,34
2,20
2,39
2,127
2,82
2,80
2,66
3,29
3,26
3,142
3,58
3,61
3,55
3,84
3,122
3,131
3,41
4,30
4,92
4,75
4,65
4,137
4,135
4,48
4,54
4,140
4,35
5,9
5,113
5,89
5,0
5,130
5,29
5,133
5,95
5,27
5,41
6,157
6,8
6,144
6,147
6,99
6,129
6,48
6,7
6,111
6,160
7,123
7,66
7,157
7,53
7,127
7,150
7,48
7,46
7,160
7,6
8,129
8,6
8,98
8,112
8,140
8,40
8,19
8,64
8,48
8,147
9,21
9,5
9,113
9,81
9,27
9,103
9,0
9,55
9,151
9,41
10,69
10,157
10,57
10,25
10,99
10,60
10,33
10,126
10,149
10,7
11,49
11,129
11,64
11,31
11,8
11,138
11,98
11,70
11,142
11,36
12,64
12,31
12,140
12,138
12,98
12,74
12,49
12,36
12,62
12,93
13,131
13,146
13,133
13,52
13,132
13,122
13,108
13,21
13,103
13,151
14,59
14,155
14,32
14,119
14,85
14,15
14,130
14,36
14,117
14,62
15,76
15,28
15,140
15,119
15,59
15,83
15,128
15,91
15,111
15,85
16,77
16,115
16,112
16,137
16,92
16,126
16,48
16,75
16,35
16,96
17,67
17,35
17,134
17,119
17,107
17,130
17,85
17,41
17,108
17,105
18,94
18,120
18,0
18,3
18,61
18,113
18,56
18,58
18,148
18,27
19,114
19,98
19,140
19,142
19,64
19,138
19,31
19,8
19,49
19,129
20,2
20,99
20,147
20,115
20,127
20,157
20,47
20,112
20,53
20,149
21,9
21,55
21,103
21,113
21,29
21,5
21,142
21,120
21,151
21,27
22,82
22,121
22,25
22,34
22,149
22,117
22,2
22,40
22,46
22,14
23,33
23,39
23,80
23,53
23,115
23,40
23,34
23,159
23,66
23,1
24,41
24,120
24,146
24,29
24,113
24,161
24,91
24,55
24,107
24,108
25,40
25,147
25,149
25,82
25,99
25,22
25,33
25,157
25,34
25,53
26,61
26,3
26,88
26,131
26,84
26,111
26,41
26,44
26,15
26,132
27,120
27,113
27,94
27,9
27,5
27,62
27,0
27,85
27,119
27,133
28,108
28,76
