Model,Accuracy,Precision (Macro),Precision (Micro),Recall (Macro),Recall (Micro),F1 (Macro),F1 (Micro),C-Index,N_Features
SVM (Linear),0.8918918918918919,0.8653846153846154,0.8918918918918919,0.899749373433584,0.8918918918918919,0.876984126984127,0.8918918918918919,0.9270012638433691,2000
K-Nearest Neighbors,0.8108108108108109,0.7682539682539682,0.8108108108108109,0.7869674185463659,0.8108108108108109,0.766645119586296,0.8108108108108109,0.9339111181216445,2000
Logistic Regression,0.7837837837837838,0.7712418300653594,0.7837837837837838,0.7694235588972432,0.7837837837837838,0.7498612498612499,0.7837837837837838,0.8613926034978666,2000
Random Forest,0.7567567567567568,0.7746031746031746,0.7567567567567568,0.7783094098883572,0.7567567567567568,0.7284610814022577,0.7567567567567568,0.9322414427677584,2000
XGBoost,0.7297297297297297,0.7354497354497354,0.7297297297297297,0.7434495329232171,0.7297297297297297,0.7066378066378066,0.7297297297297297,0.9007861534177324,2000
Decision Tree,0.5405405405405406,0.45751633986928114,0.5405405405405406,0.47026657552973344,0.5405405405405406,0.4601709401709401,0.5405405405405406,0.6161874188189977,2000
Gradient Boosting,0.4864864864864865,0.4813617754794226,0.4864864864864865,0.46160856687172475,0.4864864864864865,0.4351851851851852,0.4864864864864865,0.7004638636217585,2000
Naive Bayes,0.40540540540540543,0.3141025641025641,0.40540540540540543,0.44360902255639095,0.40540540540540543,0.3165322580645161,0.40540540540540543,0.5839738234475077,2000
SVM (RBF),0.1891891891891892,0.06306306306306307,0.1891891891891892,0.3333333333333333,0.1891891891891892,0.10606060606060606,0.1891891891891892,0.5,2000
SVM (Linear),0.7837837837837838,0.746031746031746,0.7837837837837838,0.7694235588972432,0.7837837837837838,0.7470372764490412,0.7837837837837838,0.8653364179679969,4000
K-Nearest Neighbors,0.7837837837837838,0.7527065527065527,0.7837837837837838,0.7867395762132604,0.7837837837837838,0.7606209150326797,0.7837837837837838,0.9354820617978512,4000
Logistic Regression,0.7297297297297297,0.6601307189542484,0.7297297297297297,0.6741854636591479,0.7297297297297297,0.6475256769374417,0.7297297297297297,0.8113872482293535,4000
Random Forest,0.6756756756756757,0.61489898989899,0.6756756756756757,0.6181362497151971,0.6756756756756757,0.6157248157248157,0.6756756756756757,0.8468616179142495,4000
Decision Tree,0.6216216216216216,0.5511695906432749,0.6216216216216216,0.5529733424470266,0.6216216216216216,0.5510766883764596,0.6216216216216216,0.6759168706537128,4000
XGBoost,0.5945945945945946,0.5296296296296296,0.5945945945945946,0.5099111414900889,0.5945945945945946,0.5153683094859566,0.5945945945945946,0.7683871683871684,4000
Naive Bayes,0.5405405405405406,0.34722222222222215,0.5405405405405406,0.531328320802005,0.5405405405405406,0.40724637681159415,0.5405405405405406,0.6452937900306323,4000
SVM (RBF),0.5135135135135135,0.17117117117117117,0.5135135135135135,0.3333333333333333,0.5135135135135135,0.2261904761904762,0.5135135135135135,0.5,4000
Gradient Boosting,0.32432432432432434,0.33888888888888885,0.32432432432432434,0.35178856231487815,0.32432432432432434,0.3227697891944716,0.32432432432432434,0.5403263403263404,4000
K-Nearest Neighbors,0.8108108108108109,0.7888888888888889,0.8108108108108109,0.834358623832308,0.8108108108108109,0.7996589940323956,0.8108108108108109,0.9535013719224246,6000
SVM (Linear),0.7837837837837838,0.746031746031746,0.7837837837837838,0.7694235588972432,0.7837837837837838,0.7470372764490412,0.7837837837837838,0.864723775250091,6000
XGBoost,0.7567567567567568,0.7163398692810458,0.7567567567567568,0.7090453406242879,0.7567567567567568,0.7008547008547009,0.7567567567567568,0.8557543820701715,6000
Logistic Regression,0.7567567567567568,0.7069444444444445,0.7567567567567568,0.7218045112781954,0.7567567567567568,0.6999608960393274,0.7567567567567568,0.7811674680095733,6000
Random Forest,0.6486486486486487,0.6064814814814815,0.6486486486486487,0.6051492367281841,0.6486486486486487,0.5985155195681512,0.6486486486486487,0.8783792231160653,6000
Gradient Boosting,0.5945945945945946,0.539351851851852,0.5945945945945946,0.5354294827979039,0.5945945945945946,0.5338509316770187,0.5945945945945946,0.7689719637088058,6000
Naive Bayes,0.5675675675675675,0.3428571428571428,0.5675675675675675,0.45864661654135336,0.5675675675675675,0.3877551020408163,0.5675675675675675,0.5959899749373433,6000
SVM (RBF),0.5135135135135135,0.17117117117117117,0.5135135135135135,0.3333333333333333,0.5135135135135135,0.2261904761904762,0.5135135135135135,0.5,6000
Decision Tree,0.5135135135135135,0.48214285714285715,0.5135135135135135,0.4445203918888129,0.5135135135135135,0.4522626383091499,0.5135135135135135,0.5789553526395631,6000
