,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-FX-A2QS-01A,-0.96003145,-0.27682185,-0.25491118,-0.5720879,0.1108757,0.082409486,0.014675397,0.55304784,-0.2847253,-0.02626823,-0.31358954,0.9181773,0.018057315,-0.057091102,-0.18303272,0,train
TCGA-FX-A76Y-01A,-0.111179315,0.056348104,0.015787983,0.49606192,0.0167679,-0.3505796,0.36325705,-0.40039766,-0.028403107,0.3562134,-0.10198569,-0.8589527,0.057422705,-0.4492376,-0.21633632,1,train
TCGA-DX-A8BO-01A,-0.33360222,-0.24914874,-0.21375573,-0.15299441,-0.17272429,-0.061710175,-0.034231685,-0.6947961,0.42269468,-0.44386458,-0.3709083,-0.3735883,-0.299075,0.18689786,0.41840652,2,train
TCGA-DX-A48R-01A,0.97243756,-0.12367124,0.329451,-0.3332386,-0.29296577,0.42851096,0.08177076,-0.35245997,0.38690066,0.75714636,-0.16469319,0.22586691,-0.10903479,-0.46374652,-0.12251882,1,train
TCGA-DX-A6BB-01A,0.6262356,0.43638656,0.18012138,-0.15719134,-0.74277145,0.38205114,0.22096181,0.007666358,0.019155623,0.20882502,-0.20772715,-0.569696,0.31008074,-0.12961644,-0.23159751,1,train
TCGA-DX-A3LW-01A,0.3524081,-0.122187905,-0.023346892,-0.015063414,0.0884312,0.5485225,-0.01279299,-0.0430317,-0.020399163,-0.722483,-0.14979875,0.1025915,0.84940153,0.08312922,-0.27896503,0,train
TCGA-QC-AA9N-01A,-1.628243,1.8109933,-0.38602966,-0.394728,-1.038119,1.0949738,0.3960953,-1.1773844,-0.27702877,-0.5165571,-0.039318647,-0.6261631,0.490014,0.24642284,0.18080728,2,train
TCGA-WK-A8XO-01A,-0.6941926,0.4281406,0.28496397,-0.37886998,-0.11181647,-0.20352057,0.08464072,0.09783806,0.48224133,-0.022285547,-0.5098086,-0.25643116,-0.177748,0.3730233,0.31258184,0,train
TCGA-3B-A9HL-01A,-0.1970802,0.047807787,0.13737136,-0.24160278,0.13340552,0.046726163,0.18024026,0.43890178,-0.9814256,-0.70258844,-0.47335535,0.098852776,0.14889845,-0.107485116,-0.39903232,0,train
TCGA-DX-A3U5-01A,0.44125494,0.06101863,0.2968368,-0.5693345,0.27867997,-0.024103198,-0.097839236,-0.3303341,0.47945046,-0.7894854,-0.25991917,0.047996286,0.20198324,-0.23723625,0.07296584,0,train
TCGA-DX-A1L0-01A,0.118866734,-0.20603928,0.42618117,-0.3467658,0.45578524,0.06332417,-0.045372095,-0.16648431,-0.51332873,-0.64334273,-0.3906714,0.6986271,0.1336198,-0.28950658,-0.38791764,0,train
TCGA-DX-A8BH-01A,0.12869495,0.13454877,0.004261045,0.13823003,-0.08210866,-0.15630078,-0.060231425,0.2573253,-0.31752172,-0.35269123,-0.33030272,-0.26966062,-0.18077356,0.33334205,0.7429957,2,train
TCGA-PC-A5DL-01A,0.5291582,0.16760422,0.15565723,0.018980827,-0.4741722,-0.050531365,0.19155142,0.50668263,-0.5033255,0.42895326,0.1666096,-0.5605531,0.13970408,0.33807182,-0.48614419,1,train
TCGA-FX-A48G-01A,0.037254505,-0.21290457,-0.40233517,0.18035471,0.55598634,-0.007413382,-0.14526194,-0.3718833,0.6461825,0.20476076,0.2496492,-0.7688633,0.37293756,-0.4314006,0.12818763,1,train
TCGA-IF-A4AJ-01A,-0.15380968,-0.26502976,-0.16665797,-0.5140414,-0.5350402,0.29107285,0.56807554,0.23827212,-0.6436284,0.58958393,0.43461248,0.1419417,-0.251386,0.06131456,-0.08027271,1,train
TCGA-DX-A7EM-01A,0.29547116,0.06423721,-0.0060134004,-0.29936722,-0.37014085,0.13615319,0.11355162,0.3951525,-0.49907652,0.7482209,0.23506548,0.09265458,-0.3197418,0.3357075,-0.2944651,1,train
TCGA-DX-A48J-01A,0.9467556,-0.09000081,0.03458362,0.03509028,-0.3532492,0.047756054,0.2151577,-0.12561215,0.021471959,0.2546039,-0.022678185,-0.5548611,0.3066476,0.11763811,-0.46273172,1,train
TCGA-SG-A849-01A,-0.28635654,0.5550976,0.33499414,-0.06400712,0.06539365,-0.004085105,0.043120895,-0.18817283,-0.4990651,-0.18009487,-0.11559947,-0.13043447,-0.31003624,0.50254166,0.71672803,2,train
TCGA-K1-A42X-02A,-0.22639985,0.15908675,0.12094225,0.0824878,0.5658183,-0.6196834,0.044799358,-0.16782153,0.66120034,0.69606787,0.42156827,-0.82660204,0.63198155,-0.4961797,-0.2558684,1,train
TCGA-DX-A3UB-01A,0.15055591,-0.0732461,-0.031269036,-0.19742228,0.119231604,-0.26267192,-0.014268117,-0.15878151,-0.21903498,0.105019234,-0.007931033,-0.45706108,0.22091687,-0.10616921,0.068506435,1,train
TCGA-DX-A2J0-01A,-0.32689947,-0.1268409,0.0078082434,0.001086415,0.1115635,0.02871435,-0.021072937,0.052701134,0.23027554,-0.39961225,0.0050793,0.37655967,0.1786336,0.38375798,-0.3076207,0,train
TCGA-DX-A23V-01A,-0.2712558,-0.27851778,-0.46046948,-0.13975891,0.2653825,-0.3377776,-0.0036059595,-0.2757546,0.310725,-0.730313,-0.20023602,-0.20835188,-0.039991528,0.16512582,-0.3524698,0,train
TCGA-DX-A240-01A,0.0115463715,-0.038364038,-0.05786259,-0.02588147,0.11048183,-0.1885121,-0.099701874,-0.124207094,-0.084633075,-0.24223515,-0.040529154,-0.23586284,0.3047072,-0.3630061,0.2413613,0,train
TCGA-DX-A23T-01A,-0.5701432,-0.16378026,-0.15280764,0.32232222,0.40703958,-0.608156,-0.058874507,-0.17667808,-0.49358928,-0.37626886,0.15949833,-0.40651456,-0.43314928,0.6258343,-0.03501202,0,train
TCGA-3B-A9HI-01A,0.36654985,0.1025406,-0.2152625,0.29521552,0.028006552,-0.16278861,0.006869721,0.49876687,-0.56577826,-0.5572668,-0.1895238,-0.11376026,0.041934565,0.2769333,0.13197504,0,train
TCGA-DX-A6Z2-01A,0.25585285,0.1957422,0.110096626,0.028752875,-0.6140014,0.27491653,0.2241515,-0.10143562,0.7146862,0.3310366,0.023266938,-0.40165624,-0.15104342,0.49523103,-0.20767131,1,train
TCGA-DX-A7EI-01A,-0.6747335,0.026154706,0.17690483,0.15757175,0.30345017,-0.20487568,-0.15256666,0.7398513,-0.12957056,0.52775097,-0.2876101,0.4482039,0.44623572,0.42439935,-0.24132462,0,train
TCGA-K1-A3PN-02A,0.17348205,-0.19435893,0.09840929,-0.22968517,-0.43796557,0.20383419,-0.062508784,0.14378378,0.43570846,0.5831971,0.2335465,0.2693863,-0.6028469,-0.20633343,-0.34703127,1,train
TCGA-K1-A3PN-01A,0.16746855,-0.19153337,0.08583365,-0.1642441,-0.3545569,0.12430411,-0.00038370548,0.11045306,0.37217095,0.6782204,0.20175318,0.16991706,-0.5213167,0.045487642,-0.41767356,1,train
TCGA-SG-A6Z4-01A,0.48805657,-0.35170245,0.011617303,0.7440837,-0.01011165,0.025289487,-0.20889832,0.222529,-0.70600355,-0.27358848,-0.35156056,0.43874842,0.032604013,-0.054694284,0.2979017,2,train
TCGA-DX-A8BN-01A,-0.11401712,-0.10874481,0.031024061,0.4678841,0.36555687,0.11873271,-0.32386118,0.8829341,-0.31199014,-0.98680127,-0.024964962,-0.11965584,-0.3114984,-0.2766036,-0.22239818,2,train
TCGA-DX-A1KY-01A,-0.32815483,0.22000514,0.18487306,-0.7140403,0.34777334,0.41456762,-0.03826159,0.2255971,-0.15036833,-0.10005662,0.21927126,0.8202465,0.4137889,-0.36441803,-0.38718447,0,train
TCGA-KD-A5QU-01A,1.0437301,1.4064703,0.2242603,0.3184685,1.0270326,0.25862145,-0.36440802,-1.4247892,1.106993,0.46797648,-0.11898711,0.4382746,-0.44141433,-0.567284,-0.113355085,1,train
TCGA-JV-A5VF-01A,-0.49339172,-0.29634166,-0.3091724,0.3459504,0.44633818,-0.22892922,-0.42512155,0.33451515,-0.19810581,0.24760608,0.22368143,0.70255613,-0.12819402,-0.39543912,0.24371514,1,train
TCGA-DX-A1L3-01A,-0.27822247,-0.018163241,0.04789785,-0.15743592,0.15536483,-0.300723,-0.04682074,0.081334986,0.47432783,-0.7688103,0.06310267,-0.16288826,-0.2268544,0.02344589,0.056552548,0,train
TCGA-DX-A2IZ-01A,-0.43857676,-0.20965305,-0.6430979,-0.76965874,0.2465043,0.051889073,-0.12883388,-0.08668478,-0.12137089,0.28642958,-0.116179325,0.52760106,0.5493223,-0.20553462,-0.033920653,0,train
TCGA-MB-A5YA-01A,0.37016836,0.14096591,-0.0993794,-0.28091678,-0.7090512,0.30774346,0.1305011,-0.20403649,-0.2847066,0.13274561,0.22144659,-0.39930922,-0.19897994,0.0523083,-0.12499227,1,train
TCGA-X2-A95T-01A,0.10410771,-0.115719594,-0.57953435,0.36638778,0.5235922,-0.41350365,0.03031263,-0.76525277,-0.2884937,0.51607066,-0.266102,-0.48114845,-0.12188938,-0.49731934,-0.39140716,1,train
