,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-DX-A3LW-01A,-0.5598605871200562,0.013034321367740631,0.09452281147241592,0.038159821182489395,0.6706241369247437,-0.6076660752296448,-0.45936670899391174,0.006018491927534342,-0.018630055710673332,0.3774853050708771,0.3168655335903168,0.453877329826355,0.17387786507606506,-0.07940986007452011,-0.10331244766712189,0,train
TCGA-HB-A3L4-01A,-0.1921088546514511,-0.2061787247657776,0.20486705005168915,0.46618014574050903,-0.07584455609321594,0.7805362343788147,-0.3582648038864136,-0.20052124559879303,-0.18146489560604095,0.08744294941425323,0.34676674008369446,0.09911970049142838,-0.15790383517742157,0.3016824722290039,-0.7324361205101013,1,train
TCGA-QC-A7B5-01A,0.21501561999320984,-0.35749003291130066,-0.6031906008720398,0.09483401477336884,0.09903768450021744,-0.040803201496601105,-0.28053832054138184,0.18351605534553528,-0.08761870861053467,0.03869984671473503,0.08355019986629486,-0.06236305460333824,-0.4100818336009979,0.4116080105304718,0.5742892026901245,2,train
TCGA-DX-A3U7-01A,-0.48466870188713074,-0.3612758219242096,-0.7644506096839905,-0.6841521859169006,-0.8339611291885376,-0.3199603855609894,0.027365896850824356,0.8732349276542664,-0.5732752084732056,-0.17130784690380096,-0.09926626086235046,-0.6552463173866272,-0.08807773888111115,0.4924769997596741,-0.4829142391681671,1,train
TCGA-KD-A5QU-01A,-0.49560973048210144,-0.4017874598503113,1.5910804271697998,0.08770444244146347,-0.8125682473182678,0.6952418088912964,-0.5851432085037231,0.19450218975543976,-1.4995197057724,0.7246227860450745,0.2289697676897049,-0.47724902629852295,-0.09392015635967255,0.17670974135398865,-0.5150294899940491,1,train
TCGA-DX-A1KZ-01A,-0.013341806828975677,-0.2609216570854187,-0.6059972643852234,-0.03919975459575653,0.3673750162124634,-0.37961283326148987,0.12785591185092926,0.604398250579834,-0.04648852348327637,-0.32386142015457153,-0.34097233414649963,0.5858706831932068,-0.07863472402095795,0.4579818844795227,0.003921608440577984,0,train
TCGA-DX-A8BH-01A,-0.04825921729207039,-0.3387156128883362,0.010119115933775902,0.3189832270145416,-0.031928662210702896,-0.22882875800132751,0.1970297247171402,-0.09453614056110382,-0.011070583015680313,-0.17906656861305237,-0.13445040583610535,0.09122678637504578,-0.21675623953342438,0.21117670834064484,0.7781795859336853,2,train
TCGA-3B-A9HL-01A,0.06645906716585159,0.08493780344724655,-0.34712204337120056,0.04131240397691727,0.33684709668159485,-0.527915358543396,0.2528834640979767,0.1499863713979721,-0.35325270891189575,-0.18419888615608215,-0.03318485990166664,0.6600639820098877,0.031107617542147636,0.47897112369537354,-0.3149315118789673,0,train
TCGA-DX-A1KY-01A,0.5571810603141785,0.47854629158973694,0.0009065581252798438,-0.9042773842811584,0.6330698132514954,-0.39951032400131226,-0.21083568036556244,0.30923381447792053,-0.6992265582084656,0.26278144121170044,0.2990531325340271,0.231522336602211,-0.21753284335136414,-0.1419277787208557,-0.7729271650314331,0,train
TCGA-DX-A2IZ-01A,-0.060098908841609955,0.3949761390686035,0.014884771779179573,-0.9144402146339417,0.42543408274650574,-0.17908315360546112,0.11656792461872101,0.2829894423484802,-0.04963740333914757,-0.10067460685968399,0.21900291740894318,0.2771656811237335,-0.4192843437194824,-0.10227964073419571,-0.5349398851394653,0,train
