,number,value,datetime_start,datetime_complete,duration,params_contrast_weight,params_dropout_rate,params_epochs_pre,params_latent_dim,params_lr_fine,params_lr_pre,params_noise_level,params_ortho_weight,params_temperature,state
0,0,0.29511314192439675,2026-01-21 20:38:44.432453,2026-01-21 20:39:07.463444,0 days 00:00:23.030991,4.170553216181044,0.16239780813448107,200,64,2.0513382630874486e-05,0.0015751320499779737,0.05871254182522992,0.15930522616241014,0.1185260448662222,COMPLETE
1,1,0.3282190009585294,2026-01-21 20:39:07.617250,2026-01-21 20:39:23.803792,0 days 00:00:16.186542,3.126143958203108,0.2216968971838151,100,32,2.3270677083837777e-05,0.0002310201887845295,0.1287134647448357,0.038234752246751866,0.22554447458683766,COMPLETE
2,2,0.571335636855506,2026-01-21 20:39:23.923822,2026-01-21 20:39:36.520036,0 days 00:00:12.596214,0.8333491643033208,0.3056937753654446,50,128,2.5081156860452307e-05,0.0037183641805732083,0.1388621853293064,0.16409286730647918,0.1585464336867516,COMPLETE
3,3,0.3264350386870079,2026-01-21 20:39:36.616805,2026-01-21 20:39:48.375415,0 days 00:00:11.758610,0.5542561258655851,0.3736932106048628,50,64,1.5679933916722995e-05,0.0004066563313514797,0.11602287406094021,0.09780337016659407,0.9183883618709039,COMPLETE
4,4,0.4767725732095962,2026-01-21 20:39:48.512694,2026-01-21 20:40:09.999271,0 days 00:00:21.486577,7.297384471483422,0.17394178221021084,200,64,0.00012399967836846095,0.001096821720752952,0.19543769416468382,0.7568292060167615,0.6381099809299766,COMPLETE
5,5,0.35313680991729307,2026-01-21 20:40:10.160866,2026-01-21 20:40:31.493724,0 days 00:00:21.332858,1.1600433752378407,0.25547091587579285,200,32,4.473636174621264e-05,0.00012315571723666037,0.0907023547660844,0.05170191786366993,0.5884264748424236,COMPLETE
6,6,0.5291202356477289,2026-01-21 20:40:31.658681,2026-01-21 20:40:51.986531,0 days 00:00:20.327850,4.440482849384359,0.17948627261366898,200,64,0.0003503398491158688,0.009413993046829943,0.050828317568540365,0.25924756604751586,0.7941433120173511,COMPLETE
7,7,0.5847252957864256,2026-01-21 20:40:52.135256,2026-01-21 20:41:07.676723,0 days 00:00:15.541467,4.448458336296337,0.23235920994105969,100,64,0.00017643967683381525,0.005323617594751502,0.05953375254290355,0.044706085467784894,0.6738017242196918,COMPLETE
8,8,0.5251696969861736,2026-01-21 20:41:07.816950,2026-01-21 20:41:22.512679,0 days 00:00:14.695729,1.7997562632086157,0.3245108790277985,100,32,0.0003323304206226791,0.0026698666742744613,0.16564507699318415,0.11103647313054621,0.12287721406968567,COMPLETE
9,9,0.5977568818819806,2026-01-21 20:41:22.659218,2026-01-21 20:41:38.114208,0 days 00:00:15.454990,0.9923006608672535,0.4630265895704372,100,128,0.0001040258761588385,0.0004253162363790873,0.08739383437233125,0.3244160088734159,0.1692819188459137,COMPLETE
