,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-DX-A8BV-01A,0.42447230219841003,0.02032840996980667,-0.06376338750123978,-0.2970675230026245,-0.10772499442100525,0.15933386981487274,-0.49252042174339294,0.39329028129577637,-0.17823852598667145,-0.1565275937318802,-0.33903706073760986,0.26284468173980713,-0.04479632154107094,-0.43474242091178894,-0.34235379099845886,1,train
TCGA-DX-A7EL-01A,-0.5410560369491577,0.10889457166194916,-0.17890578508377075,-0.1935175508260727,0.3347618579864502,-0.5037209987640381,-0.34390395879745483,-0.6242660284042358,0.27181220054626465,0.11936355382204056,0.888579249382019,0.007878845557570457,0.31078073382377625,0.38456669449806213,0.493577241897583,2,train
TCGA-DX-A48O-01A,0.3061114549636841,0.05901240557432175,-0.6272138953208923,-0.012861046940088272,0.1469956487417221,-0.4544234871864319,-0.28725099563598633,-0.8090789318084717,0.3482118844985962,0.2248779684305191,0.3940480649471283,-0.061492886394262314,-0.06916893273591995,0.18908469378948212,0.8028884530067444,2,train
TCGA-DX-A6Z0-01A,-0.9999994039535522,-0.07823178172111511,0.09724892675876617,-0.1993681937456131,0.04850976541638374,0.4565366506576538,0.35023626685142517,0.47862178087234497,0.43687888979911804,0.1488816887140274,-0.4446229040622711,0.27894356846809387,-0.2226199358701706,-0.21762844920158386,-0.7274057865142822,1,train
TCGA-IW-A3M4-01A,0.06526431441307068,-0.016592729836702347,0.3101932108402252,0.6233813762664795,0.3627011477947235,-0.8574056625366211,-0.3400503098964691,-0.37553444504737854,0.38487812876701355,-0.20977121591567993,0.4399849772453308,-0.47676852345466614,-0.14352506399154663,-0.2091880440711975,0.3734148442745209,2,train
TCGA-3B-A9HL-01A,0.1280563473701477,-0.43991464376449585,-0.13443085551261902,0.055701375007629395,0.20470277965068817,-0.04632817208766937,-0.22154662013053894,0.49838241934776306,-0.38634994626045227,-0.4651496708393097,-0.5368383526802063,0.29467228055000305,0.002876410959288478,0.06578125059604645,-0.5670509934425354,0,train
TCGA-MJ-A68H-01A,-0.2120656967163086,0.018829919397830963,-0.04154025390744209,0.34167879819869995,-0.3788894712924957,-0.4225905239582062,-0.35991474986076355,0.16577564179897308,0.014935685321688652,-0.4270615875720978,0.6318122148513794,-0.03627125546336174,-0.16076238453388214,0.6650907397270203,-0.17045296728610992,2,train
TCGA-PC-A5DL-01A,-0.026202281937003136,0.058018360286951065,-0.6176799535751343,-0.2150082141160965,-0.05794186890125275,-0.6576746106147766,-0.1928611397743225,0.1700643002986908,0.2797999978065491,-0.5248755216598511,0.3484218716621399,0.07262437045574188,0.41539067029953003,-0.11464723199605942,-0.06500881910324097,2,train
TCGA-HB-A43Z-01A,0.1813172549009323,0.10313412547111511,-0.23924018442630768,0.09503176063299179,-1.48525869846344,-0.20189237594604492,0.6559973955154419,0.37844380736351013,0.6576453447341919,-0.630591094493866,-0.2762165665626526,-0.7728314995765686,-0.2881842851638794,0.5219038128852844,1.2867008447647095,2,train
TCGA-DX-AB35-01A,0.3952797055244446,-0.5026111006736755,-0.05726510286331177,-0.14641490578651428,0.3633197247982025,0.08052017539739609,0.24861621856689453,0.3467537760734558,-0.5588757991790771,-0.2945541739463806,-0.30913981795310974,0.29262614250183105,0.026361024007201195,-0.36957046389579773,-0.6963685750961304,0,train
